Month/Year,$(Millions)
Jan-1992,"19,172"
Feb-1992,"21,267"
Mar-1992,"24,865"
Apr-1992,"20,682"
May-1992,"21,304"
Jun-1992,"25,486"
Jul-1992,"20,002"
Aug-1992,"21,695"
Sep-1992,"25,894"
Oct-1992,"22,643"
Nov-1992,"23,710"
Dec-1992,"27,008"
Jan-1993,"19,496"
Feb-1993,"22,076"
Mar-1993,"25,989"
Apr-1993,"20,644"
May-1993,"21,800"
Jun-1993,"26,641"
Jul-1993,"20,455"
Aug-1993,"22,951"
Sep-1993,"28,010"
Oct-1993,"23,894"
Nov-1993,"25,546"
Dec-1993,"28,955"
Jan-1994,"21,540"
Feb-1994,"24,190"
Mar-1994,"27,904"
Apr-1994,"23,559"
May-1994,"24,620"
Jun-1994,"29,663"
Jul-1994,"23,016"
Aug-1994,"26,195"
Sep-1994,"31,220"
Oct-1994,"27,137"
Nov-1994,"28,785"
Dec-1994,"32,940"
Jan-1995,"24,295"
Feb-1995,"27,226"
Mar-1995,"32,855"
Apr-1995,"26,241"
May-1995,"28,521"
Jun-1995,"35,066"
Jul-1995,"25,713"
Aug-1995,"30,197"
Sep-1995,"37,229"
Oct-1995,"31,431"
Nov-1995,"33,345"
Dec-1995,"38,560"
Jan-1996,"26,481"
Feb-1996,"31,090"
Mar-1996,"37,031"
Apr-1996,"28,808"
May-1996,"30,696"
Jun-1996,"37,391"
Jul-1996,"27,513"
Aug-1996,"31,850"
Sep-1996,"39,070"
Oct-1996,"33,085"
Nov-1996,"35,177"
Dec-1996,"41,324"
Jan-1997,"28,262"
Feb-1997,"33,087"
Mar-1997,"41,589"
Apr-1997,"31,127"
May-1997,"33,228"
Jun-1997,"43,301"
Jul-1997,"31,250"
Aug-1997,"35,593"
Sep-1997,"44,626"
Oct-1997,"35,821"
Nov-1997,"36,424"
Dec-1997,"45,072"
Jan-1998,"29,310"
Feb-1998,"34,786"
Mar-1998,"42,542"
Apr-1998,"31,921"
May-1998,"32,840"
Jun-1998,"43,702"
Jul-1998,"30,796"
Aug-1998,"34,407"
Sep-1998,"43,789"
Oct-1998,"36,153"
Nov-1998,"38,028"
Dec-1998,"45,494"
Jan-1999,"30,855"
Feb-1999,"35,248"
Mar-1999,"43,376"
Apr-1999,"34,128"
May-1999,"36,100"
Jun-1999,"45,404"
Jul-1999,"34,868"
Aug-1999,"37,191"
Sep-1999,"46,103"
Oct-1999,"38,106"
Nov-1999,"39,483"
Dec-1999,"46,197"
Jan-2000,"33,734"
Feb-2000,"37,765"
Mar-2000,"46,516"
Apr-2000,"37,121"
May-2000,"39,438"
Jun-2000,"49,114"
Jul-2000,"37,150"
Aug-2000,"40,499"
Sep-2000,"51,893"
Oct-2000,"41,885"
Nov-2000,"42,610"
Dec-2000,"52,914"
Jan-2001,"35,818"
Feb-2001,"38,385"
Mar-2001,"46,021"
Apr-2001,"32,941"
May-2001,"32,724"
Jun-2001,"41,695"
Jul-2001,"29,852"
Aug-2001,"31,087"
Sep-2001,"38,274"
Oct-2001,"31,109"
Nov-2001,"31,872"
Dec-2001,"39,693"
Jan-2002,"26,765"
Feb-2002,"28,948"
Mar-2002,"35,651"
Apr-2002,"27,643"
May-2002,"28,662"
Jun-2002,"34,171"
Jul-2002,"25,996"
Aug-2002,"28,314"
Sep-2002,"33,430"
Oct-2002,"27,005"
Nov-2002,"28,436"
Dec-2002,"32,303"
Jan-2003,"24,548"
Feb-2003,"26,207"
Mar-2003,"32,364"
Apr-2003,"25,818"
May-2003,"26,801"
Jun-2003,"33,455"
Jul-2003,"25,452"
Aug-2003,"27,795"
Sep-2003,"34,252"
Oct-2003,"29,697"
Nov-2003,"29,797"
Dec-2003,"36,087"
Jan-2004,"26,158"
Feb-2004,"28,189"
Mar-2004,"33,933"
Apr-2004,"27,739"
May-2004,"28,511"
Jun-2004,"33,568"
Jul-2004,"26,985"
Aug-2004,"29,403"
Sep-2004,"34,163"
Oct-2004,"29,886"
Nov-2004,"30,785"
Dec-2004,"36,225"
Jan-2005,"26,902"
Feb-2005,"28,033"
Mar-2005,"35,114"
Apr-2005,"27,592"
May-2005,"28,738"
Jun-2005,"34,969"
Jul-2005,"26,409"
Aug-2005,"30,219"
Sep-2005,"35,637"
Oct-2005,"30,175"
Nov-2005,"30,891"
Dec-2005,"38,203"
Jan-2006,"26,929"
Feb-2006,"30,523"
Mar-2006,"36,984"
Apr-2006,"28,851"
May-2006,"30,910"
Jun-2006,"37,118"
Jul-2006,"28,587"
Aug-2006,"32,018"
Sep-2006,"37,052"
Oct-2006,"31,624"
Nov-2006,"32,997"
Dec-2006,"37,220"
Jan-2007,"29,316"
Feb-2007,"30,277"
Mar-2007,"35,992"
Apr-2007,"31,188"
May-2007,"30,994"
Jun-2007,"36,637"
Jul-2007,"28,376"
Aug-2007,"31,976"
Sep-2007,"36,542"
Oct-2007,"32,720"
Nov-2007,"33,239"
Dec-2007,"38,471"
Jan-2008,"31,437"
Feb-2008,"30,206"
Mar-2008,"35,350"
Apr-2008,"31,045"
May-2008,"31,062"
Jun-2008,"35,292"
Jul-2008,"30,685"
Aug-2008,"29,793"
Sep-2008,"34,768"
Oct-2008,"31,367"
Nov-2008,"28,115"
Dec-2008,"33,977"
Jan-2009,"24,494"
Feb-2009,"23,697"
Mar-2009,"28,653"
Apr-2009,"25,301"
May-2009,"23,824"
Jun-2009,"28,137"
Jul-2009,"26,392"
Aug-2009,"25,910"
Sep-2009,"28,712"
Oct-2009,"28,349"
Nov-2009,"26,595"
Dec-2009,"29,411"
Jan-2010,"26,044"
Feb-2010,"23,614"
Mar-2010,"28,081"
Apr-2010,"27,508"
May-2010,"25,482"
Jun-2010,"27,539"
Jul-2010,"27,375"
Aug-2010,"26,574"
Sep-2010,"29,701"
Oct-2010,"28,692"
Nov-2010,"27,588"
Dec-2010,"30,157"
Jan-2011,"26,299"
Feb-2011,"24,527"
Mar-2011,"29,024"
Apr-2011,"27,955"
May-2011,"26,420"
Jun-2011,"29,557"
Jul-2011,"26,285"
Aug-2011,"27,752"
Sep-2011,"30,115"
Oct-2011,"28,781"
Nov-2011,"26,634"
Dec-2011,"29,602"
Jan-2012,"25,471"
Feb-2012,"24,998"
Mar-2012,"28,003"
Apr-2012,"25,460"
May-2012,"25,753"
Jun-2012,"28,680"
Jul-2012,"24,350"
Aug-2012,"23,781"
Sep-2012,"27,554"
Oct-2012,"25,706"
Nov-2012,"24,680"
Dec-2012,"29,152"
Jan-2013,"22,265"
Feb-2013,"22,510"
Mar-2013,"28,351"
Apr-2013,"24,093"
May-2013,"24,445"
Jun-2013,"28,937"
Jul-2013,"23,870"
Aug-2013,"24,906"
Sep-2013,"29,277"
Oct-2013,"25,302"
Nov-2013,"25,046"
Dec-2013,"29,529"
Jan-2014,"22,965"
Feb-2014,"22,223"
Mar-2014,"28,098"
Apr-2014,"23,932"
May-2014,"23,609"
Jun-2014,"28,892"
Jul-2014,"24,423"
Aug-2014,"24,636"
Sep-2014,"27,794"
Oct-2014,"24,343"
Nov-2014,"23,268"
Dec-2014,"27,866"
Jan-2015,"21,299"
Feb-2015,"21,234"
Mar-2015,"27,446"
Apr-2015,"23,692"
May-2015,"23,265"
Jun-2015,"28,522"
Jul-2015,"23,770"
Aug-2015,"25,043"
Sep-2015,"27,954"
Oct-2015,"24,612"
Nov-2015,"24,619"
Dec-2015,"27,689"
Jan-2016,"21,396"
Feb-2016,"21,644"
Mar-2016,"26,357"
Apr-2016,"22,134"
May-2016,"22,666"
Jun-2016,"26,933"
Jul-2016,"22,893"
Aug-2016,"24,770"
Sep-2016,"27,081"
Oct-2016,"24,680"
Nov-2016,"24,887"
Dec-2016,"28,146"
Jan-2017,"23,220"
Feb-2017,"21,920"
Mar-2017,"27,220"
Apr-2017,"23,008"
May-2017,"23,920"
Jun-2017,"28,252"
Jul-2017,"24,310"
Aug-2017,"26,364"
Sep-2017,"28,813"
Oct-2017,"26,569"
Nov-2017,"27,138"
Dec-2017,"29,428"
Jan-2018,"24,601"
Feb-2018,"23,639"
Mar-2018,"28,347"
Apr-2018,"25,026"
May-2018,"25,724"
Jun-2018,"29,704"
Jul-2018,"26,043"
Aug-2018,"27,897"
Sep-2018,"30,228"
Oct-2018,"28,394"
Nov-2018,"28,558"
Dec-2018,"31,647"
Jan-2019,"25,464"
Feb-2019,"25,278"
Mar-2019,"29,734"
Apr-2019,"26,437"
May-2019,"27,142"
Jun-2019,"30,579"
Jul-2019,"26,859"
Aug-2019,"28,555"
Sep-2019,"31,440"
Oct-2019,"28,518"
Nov-2019,"28,706"
Dec-2019,"31,984"
Jan-2020,"25,582"
Feb-2020,"26,035"
Mar-2020,"30,516"
Apr-2020,"26,135"
May-2020,"26,903"
Jun-2020,"31,285"
Jul-2020,"27,994"
Aug-2020,"30,316"
Sep-2020,"34,127"
Oct-2020,"30,984"
Nov-2020,NA
Dec-2020,NA
